,t-score,p-value,df
max_vtt,4.04662928556,7.065705444e-05,233.629457051
avg_vtt,-4.63754235227,6.91944441902e-06,173.281381529
std_vtt,-0.125921866581,0.899963005761,149.457126212
max_ptt,8.92893258181,1.00012177391e-16,247.321463452
avg_ptt,3.78372666686,0.000212702708213,172.955880096
std_ptt,2.39340441173,0.0179984588502,142.127775431
max_pttpv,10.1628553981,1.6468222985e-20,247.982845821
avg_pttpv,1.99385770228,0.047778426375,168.755293965
std_pttpv,3.51125777269,0.000591178801433,148.286970161
max_ttt,6.29787933107,1.42629583406e-09,240.052640302
avg_ttt,-2.65629591535,0.00863405581683,174.20349762
std_ttt,1.75764830624,0.0808939978377,146.643312554
